author_keywords,citation_count,eid,length_of_abstract,publication_year,refcount,sub_type,subject_areas
"Greater trochanter,Ischial tuberosity,Localisation,Piriformis muscle,Posterior superior iliac spine,Sciatic nerve",3,2-s2.0-85097210623,429,2019,34,ar,MEDI
"Greater trochanter,Ischial tuberosity,Localisation,Piriformis muscle,Posterior superior iliac spine,Sciatic nerve",3,2-s2.0-85097210623,429,2019,34,ar,MEDI
"breast-conserving surgery,mastectomy,retrospective study",1,2-s2.0-85078201825,242,2019,16,ar,BIOC
"balloon occlusion,postpartum hemorrhage,uterine artery ligation,uterine compression suture",2,2-s2.0-85078136559,244,2019,22,ar,BIOC
"Escherichia coli,nanomedicine,nanoparticles,proteomics,Staphylococcus aureus",7,2-s2.0-85078139162,214,2019,45,ar,BIOC
"macrodactyly,mutation,PIK3CA",0,2-s2.0-85078111250,167,2019,15,ar,BIOC
"Aqueous electrolyte,Binder free,Carbon cloth,Nanofiber,Vanadium oxide,Zinc trifluoromethanesulfonate,Zinc-ion battery",33,2-s2.0-85077085511,146,2019,41,ar,ENER
"Aqueous electrolyte,Binder free,Carbon cloth,Nanofiber,Vanadium oxide,Zinc trifluoromethanesulfonate,Zinc-ion battery",33,2-s2.0-85077085511,146,2019,41,ar,ENER
"Aqueous electrolyte,Binder free,Carbon cloth,Nanofiber,Vanadium oxide,Zinc trifluoromethanesulfonate,Zinc-ion battery",33,2-s2.0-85077085511,146,2019,41,ar,ENER
"Aqueous electrolyte,Binder free,Carbon cloth,Nanofiber,Vanadium oxide,Zinc trifluoromethanesulfonate,Zinc-ion battery",33,2-s2.0-85077085511,146,2019,41,ar,ENER
"Aqueous electrolyte,Binder free,Carbon cloth,Nanofiber,Vanadium oxide,Zinc trifluoromethanesulfonate,Zinc-ion battery",33,2-s2.0-85077085511,146,2019,41,ar,MATH
