eid,subject_areas,publication_year,length_of_abstract,author_keywords,sub_type,citation_count,refcount
2-s2.0-85170238281,BIOC,2023,172,"Alzheimer's disease,Hydrogel colorimetric sensor,indicator-displacement assay,PV/Cu2+-GO/Alg hydrogel,Urinary cysteine",ar,0,48
2-s2.0-85169978316,CHEM,2023,217,"Copper(II),Hirshfeld calculations,Molecular docking,Single crystal X-ray,Spectroscopy,Triethanolamine",ar,0,70
2-s2.0-85165929707,AGRI,2023,262,"Ammonia removal,Carrying capacity,Microbiome,Outdoor shrimp pond,Phytoplankton",ar,0,35
2-s2.0-85167831666,ENVI,2023,207,"Anaerobic baffled biofilm–MBR (AnBB-MBR),Membrane fouling reduction,Microaeration,Microbial community,Sludge recirculation,VFA and nitrogen removal",ar,0,77
2-s2.0-85165076456,"AGRI,ENVI",2023,247,"Contamination,Health risk assessment,Heavy metals,Marine edible organisms,Pondicherry coast",ar,0,65
2-s2.0-85163980976,PHAR,2023,258,"Ashoka,Conservation strategies,Demand and supply chain,IUCN red list species,Saraca,Vulnerable species",re,0,115
2-s2.0-85163518601,PHAR,2023,345,"Biofilm,Methicillin-resistant S. pseudintermedius,Piper betle,Staphylococcus pseudintermedius",ar,0,31
2-s2.0-85170343668,MULT,2023,198,,ar,0,69
2-s2.0-85170099383,"ENVI,PHAR",2023,255,"Assay,Digital image colorimetry,Ethambutol,Green chemistry,Smartphone",ar,0,46
2-s2.0-85170059053,AGRI,2023,347,"Fungal identification,Internal transcribed spacer (ITS),Nanopore technology,Targeted long-read sequencing",ar,0,35
2-s2.0-85169779645,BUSI,2023,195,"COVID-19,Crisis communications,Data analytics,Destination marketing,Destination marketing organisations (DMOs),Marketing strategy,Social media strategy,Twitter",ar,0,62
2-s2.0-85169701297,DENT,2023,188,,ar,0,29
2-s2.0-85169566827,"CHEM,MATE",2023,199,"Agar,Alginate,Lactobacillus plantarum MB001,Microcapsule,Microemulsion,Probiotics",ar,0,23
2-s2.0-85169536377,"BIOC,AGRI,ENGI,ENER",2023,171,"Adsorption,Carboxymethyl cellulose,Coconut shell activated carbon,Lactic acid recovery,Thermodynamic and kinetics",ar,0,65
2-s2.0-85169520899,MULT,2023,368,,ar,0,56
2-s2.0-85169516252,DENT,2023,287,"Confirmatory factor analysis,Exploratory factor analysis,Measurement invariance,Patient perception,Patient-centered dental care,Primary care",ar,0,49
2-s2.0-85169514022,MULT,2023,214,,ar,0,39
2-s2.0-85169429429,"MATE,ENGI",2023,190,"Au and Cu2O decorations,DP25,Methylene blue degradation,PET support,Photocatalytic films,Wet impregnation method",ar,0,85
2-s2.0-85169328720,AGRI,2023,203,"Durian,Durio zibethinus L.,Fruit ripening,Methionine γ-lyase,Sulfur metabolism,γ- glutamylcysteine",ar,0,81
2-s2.0-85168987136,MULT,2023,212,,ar,0,74
2-s2.0-85168966366,MULT,2023,203,,ar,0,52
2-s2.0-85168965549,MULT,2023,100,,er,0,
2-s2.0-85168954109,MULT,2023,190,,ar,0,57
2-s2.0-85168774607,"CHEM,COMP,MATE",2023,115,"Arrhenius law,Computer simulation,Enthalpy of adsorption,Henry coefficient,Monte Carlo simulation,Selective adsorption",ar,0,18
2-s2.0-85168715759,"MATH,COMP,SOCI,DECI",2023,149,,dp,0,41
2-s2.0-85168694039,DENT,2023,344,"Cognitive impairment,Mastication,Oral function,Physical activity,Social activity,Swallowing",ar,0,44
2-s2.0-85168692102,MEDI,2023,201,"Amyloid beta,Asiatic acid,Memory dysfunction,Mice,Nose-to-brain,SLNs",ar,0,73
2-s2.0-85168668852,"ENVI,ENER",2023,229,"Biowaste,Calcium acetate,Calcium carbonate,Oyster-shell waste,Thermal decomposition",ar,0,28
2-s2.0-85168601749,MULT,2023,208,,ar,0,76
2-s2.0-85168590586,VETE,2023,307,"Mitochondrial quality,Mitral regurgitation,Pimobendan,Rat,Reactive oxygen species",ar,0,52
2-s2.0-85168445119,MULT,2023,197,,ar,0,55
2-s2.0-85168263631,MULT,2023,167,,ar,0,63
2-s2.0-85168250885,MULT,2023,287,,ar,0,51
2-s2.0-85168236124,MULT,2023,198,,ar,0,81
2-s2.0-85168090493,PSYC,2023,77,"Actual SES,Age,Aggression,Death anxiety,Life satisfaction,Perceived SES,Sex",ar,0,22
2-s2.0-85168059883,MULT,2023,193,,ar,0,92
2-s2.0-85167780068,"CHEM,ENER,MATE",2023,204,"Acid sites control,Biomass,Brønsted acid,HMF,Lewis acid,Mesoporous silica",ar,0,37
2-s2.0-85167764240,MEDI,2023,325,"Antidepressants,Direct medical costs,Economic costs of an illness,Intangible costs,Major Depressive Disorder (MDD),Productivity loss, Fail-to-treat,Treatment-resistant depression (TRD),Unpaid caregivers",ar,0,61
2-s2.0-85167528561,MULT,2023,252,,ar,0,71
2-s2.0-85167455063,ENVI,2023,294,"Autochthonous pathogen,Fecal indicator bacteria,Marine water,Quantitative microbial risk assessment,Risk,Swimmers",ar,0,57
2-s2.0-85167436418,"BIOC,IMMU,VETE,MEDI",2023,358,"Anti-SARS-CoV-2 IgG,BNT162b2 vaccine,Child,Infant,Neutralizing antibody titer,SARS-CoV-2 vaccine",ar,0,30
2-s2.0-85167421223,"CHEM,COMP,MATE",2023,257,"DFT calculations,Ethylene polymerization,FI catalyst,Mechanism,Nickel",ar,0,53
2-s2.0-85166953202,"BIOC,HEAL",2023,201,"Alginate,Chitosan,Iron oxide nanoparticles,Magnetic targeting delivery,Stimuli-responsive",ar,0,3
2-s2.0-85166751140,"HEAL,MEDI",2023,281,"Health knowledge, attitudes, practice,In-depth interview,Levonorgestrel,Postcoital contraception,Surveys and questionnaires",ar,0,21
2-s2.0-85166636986,AGRI,2023,152,"Alantolactone,Antioxidant,Antitumor,Controlled release,Nanoparticles,Zein",ar,0,38
2-s2.0-85166597237,"BIOC,AGRI",2023,226,"Anchorage-independent growth,Anoikis,Anoikis resistance,Metabolomics,Metastasis,Non-small-cell lung cancer",ar,0,54
2-s2.0-85166488212,AGRI,2023,155,"3D printing,Edible insects,Food design,Future food,Shape transformation",ar,0,43
2-s2.0-85166437042,MULT,2023,203,,ar,0,65
2-s2.0-85166230557,MULT,2023,211,,ar,0,46
2-s2.0-85166165358,MULT,2023,219,,ar,0,28
2-s2.0-85166160714,MULT,2023,264,,ar,0,45
2-s2.0-85166095459,MEDI,2023,335,"Contraceptive implant,COVID-19,Long-acting reversible contraceptives,Telehealth,Telemedicine",ar,0,41
2-s2.0-85166030524,CHEM,2023,242,"Arsenic,Electrochemical detection,Microfluidic device,Smartphone,Speciation",ar,0,33
2-s2.0-85166010977,"MEDI,AGRI,PHAR",2023,196,"Immune cell activation,Marine invertebrate,Neuron apoptosis,Neuronal injury,Protein plaque,α-synuclein",re,0,183
2-s2.0-85165918680,MULT,2023,374,,ar,0,53
2-s2.0-85165884581,MULT,2023,201,,ar,0,49
