publication_year,subject_areas,count
2018,PSYC,22
2018,ENER,80
2018,IMMU,128
2018,DENT,48
2018,HEAL,26
2018,AGRI,227
2018,PHYS,268
2018,NEUR,77
2018,EART,72
2018,MATE,264
2018,ARTS,21
2018,ECON,34
2018,ENVI,151
2018,ENGI,369
2018,MATH,88
2018,VETE,94
2018,MULT,30
2018,BIOC,283
2018,CHEM,240
2018,MEDI,595
2018,SOCI,118
2018,PHAR,138
2018,BUSI,63
2018,COMP,212
2018,NURS,35
2018,CENG,151
2018,DECI,31
2019,NEUR,74
2019,COMP,319
2019,DECI,79
2019,ARTS,73
2019,IMMU,132
2019,PSYC,19
2019,MATE,232
2019,ECON,46
2019,ENVI,189
2019,ENER,133
2019,CENG,163
2019,CHEM,249
2019,MEDI,691
2019,PHAR,136
2019,PHYS,250
2019,DENT,49
2019,BIOC,321
2019,SOCI,182
2019,HEAL,28
2019,MATH,104
2019,VETE,81
2019,NURS,28
2019,BUSI,87
2019,ENGI,394
2019,AGRI,213
2019,MULT,43
2019,EART,75
2020,EART,115
2020,DECI,79
2020,CHEM,256
2020,ENER,185
2020,PHYS,261
2020,ECON,88
2020,BIOC,317
2020,IMMU,154
2020,AGRI,289
2020,MEDI,725
2020,HEAL,33
2020,ENVI,280
2020,PHAR,169
2020,MULT,53
2020,NEUR,64
2020,MATH,114
2020,NURS,42
2020,SOCI,190
2020,PSYC,29
2020,DENT,43
2020,CENG,190
2020,BUSI,114
2020,ARTS,77
2020,COMP,272
2020,ENGI,432
2020,MATE,288
2020,VETE,90
2021,MULT,74
2021,EART,106
2021,DENT,74
2021,PHAR,182
2021,COMP,256
2021,ENVI,307
2021,CHEM,350
2021,NURS,62
2021,VETE,108
2021,DECI,27
2021,ECON,74
2021,MEDI,906
2021,PSYC,35
2021,NEUR,70
2021,SOCI,273
2021,HEAL,52
2021,MATH,113
2021,MATE,319
2021,AGRI,324
2021,IMMU,180
2021,BIOC,404
2021,CENG,235
2021,ENER,188
2021,ENGI,473
2021,PHYS,264
2021,BUSI,92
2021,ARTS,86
2022,NEUR,76
2022,COMP,365
2022,IMMU,233
2022,CENG,266
2022,PHYS,247
2022,SOCI,317
2022,BIOC,458
2022,BUSI,114
2022,PSYC,57
2022,ENER,233
2022,ENGI,515
2022,MATE,340
2022,DECI,73
2022,MATH,143
2022,EART,96
2022,MULT,72
2022,AGRI,403
2022,ECON,59
2022,HEAL,65
2022,MEDI,1028
2022,DENT,93
2022,CHEM,359
2022,NURS,72
2022,PHAR,223
2022,ENVI,357
2022,ARTS,86
2022,VETE,133
2023,HEAL,65
2023,MATH,106
2023,MULT,67
2023,ECON,71
2023,ENVI,330
2023,PSYC,50
2023,BIOC,429
2023,DENT,100
2023,PHAR,158
2023,BUSI,101
2023,MEDI,927
2023,COMP,258
2023,MATE,301
2023,CHEM,326
2023,NEUR,91
2023,ENGI,417
2023,SOCI,281
2023,ARTS,100
2023,AGRI,366
2023,DECI,37
2023,CENG,240
2023,VETE,68
2023,ENER,169
2023,NURS,68
2023,IMMU,198
2023,PHYS,209
2023,EART,103
2024,IMMU,24
2024,AGRI,87
2024,DECI,3
2024,MATE,35
2024,ECON,14
2024,DENT,21
2024,NEUR,27
2024,EART,16
2024,ENGI,63
2024,BUSI,24
2024,PHYS,20
2024,NURS,13
2024,CHEM,34
2024,ENVI,76
2024,MATH,13
2024,CENG,18
2024,BIOC,98
2024,SOCI,53
2024,VETE,24
2024,ARTS,9
2024,HEAL,8
2024,COMP,39
2024,ENER,31
2024,MEDI,223
2024,PSYC,10
2024,PHAR,25
2024,MULT,17
